attack,detection_rate,decoy_ratio,n_trials,zones_hit
bulk_steal_30,1.0,0.004474943001475257,20,"{'random': 688, 'cluster': 2733, 'high_value': 2112, 'edge_case': 473}"
bulk_steal_10,1.0,0.00436541642451607,20,"{'random': 211, 'high_value': 687, 'cluster': 898, 'edge_case': 157}"
targeted_top20,1.0,0.0034868906323342053,20,"{'random': 680, 'high_value': 2400, 'cluster': 40}"
targeted_top10,1.0,0.00232454179704962,20,"{'random': 320, 'high_value': 720}"
mimicry_5pct,1.0,0.004407773995702028,20,"{'edge_case': 417, 'high_value': 2011, 'cluster': 2690, 'random': 502}"
mimicry_10pct,1.0,0.004294158553546592,20,"{'cluster': 2727, 'high_value': 1696, 'random': 357, 'edge_case': 407}"
slow_theft,1.0,0.004300000000000001,20,"{'random': 21, 'cluster': 86, 'high_value': 54, 'edge_case': 11}"
