label,auc_roc,auc_pr,f1,precision,recall
RF on clean data (no decoys),0.9815531482596633,0.9123010505695678,0.8707482993197279,1.0,0.7710843373493976
RF on injected data (with decoys),0.9816195096387059,0.9129452080092414,0.8707482993197279,1.0,0.7710843373493976
Isolation Forest,0.8480940632731102,0.011437246409574076,0.022411474675033616,0.011638733705772812,0.30120481927710846
