label,auc_roc,auc_pr,f1,precision,recall
RF on clean data (no decoys),0.9815531482596633,0.9123010505695678,0.8707482993197279,1.0,0.7710843373493976
RF on injected data (known decoys filtered),0.9754304578252578,0.8992560167074293,0.8783783783783784,1.0,0.7831325301204819
Isolation Forest,0.8480940632731102,0.011437246409574076,0.0136986301369863,0.015873015873015872,0.012048192771084338
